cancer,population
1.0,445.0
0.0,559.0
3.0,677.0
4.0,681.0
3.0,746.0
4.0,869.0
1.0,950.0
5.0,976.0
5.0,1096.0
5.0,1098.0
5.0,1114.0
7.0,1125.0
5.0,1236.0
6.0,1285.0
3.0,1291.0
3.0,1318.0
2.0,1323.0
8.0,1327.0
9.0,1438.0
7.0,1479.0
4.0,1536.0
6.0,1598.0
6.0,1635.0
11.0,1667.0
4.0,1696.0
7.0,1792.0
7.0,1795.0
4.0,1808.0
6.0,1838.0
16.0,1838.0
3.0,1847.0
8.0,1933.0
8.0,1959.0
4.0,1990.0
9.0,2003.0
10.0,2070.0
7.0,2091.0
8.0,2099.0
5.0,2104.0
11.0,2147.0
4.0,2154.0
12.0,2163.0
11.0,2172.0
9.0,2174.0
13.0,2183.0
17.0,2193.0
11.0,2210.0
10.0,2212.0
4.0,2236.0
4.0,2245.0
8.0,2261.0
6.0,2317.0
8.0,2333.0
16.0,2393.0
10.0,2404.0
4.0,2419.0
11.0,2462.0
10.0,2476.0
11.0,2477.0
9.0,2483.0
11.0,2511.0
14.0,2591.0
6.0,2624.0
8.0,2690.0
12.0,2731.0
15.0,2735.0
9.0,2736.0
13.0,2747.0
18.0,2782.0
15.0,2783.0
12.0,2793.0
11.0,2891.0
12.0,2894.0
12.0,2906.0
14.0,2929.0
12.0,2935.0
3.0,2962.0
5.0,3054.0
7.0,3112.0
9.0,3118.0
11.0,3185.0
14.0,3217.0
18.0,3236.0
11.0,3290.0
11.0,3314.0
4.0,3316.0
13.0,3401.0
10.0,3409.0
10.0,3426.0
9.0,3470.0
11.0,3488.0
12.0,3511.0
4.0,3549.0
16.0,3571.0
20.0,3578.0
5.0,3620.0
15.0,3654.0
15.0,3680.0
12.0,3683.0
7.0,3688.0
7.0,3706.0
12.0,3733.0
21.0,3800.0
16.0,3802.0
13.0,3832.0
16.0,3863.0
8.0,3891.0
12.0,4008.0
20.0,4093.0
21.0,4149.0
15.0,4162.0
13.0,4223.0
13.0,4232.0
10.0,4312.0
22.0,4329.0
14.0,4331.0
16.0,4399.0
13.0,4470.0
24.0,4618.0
27.0,4669.0
16.0,4681.0
28.0,4737.0
11.0,4784.0
12.0,4829.0
14.0,4857.0
26.0,4918.0
27.0,4967.0
17.0,5041.0
20.0,5051.0
12.0,5077.0
20.0,5107.0
12.0,5108.0
24.0,5124.0
27.0,5156.0
25.0,5167.0
19.0,5211.0
21.0,5246.0
8.0,5743.0
15.0,5773.0
22.0,5932.0
21.0,5983.0
37.0,5989.0
23.0,5998.0
18.0,6021.0
25.0,6035.0
26.0,6074.0
17.0,6134.0
27.0,6175.0
13.0,6220.0
13.0,6296.0
15.0,6445.0
33.0,6624.0
24.0,6841.0
23.0,6868.0
18.0,6903.0
24.0,6904.0
21.0,6916.0
32.0,6934.0
23.0,6978.0
32.0,7014.0
16.0,7025.0
29.0,7031.0
33.0,7115.0
20.0,7256.0
19.0,7288.0
27.0,7304.0
10.0,7367.0
34.0,7376.0
36.0,7407.0
26.0,7408.0
33.0,7503.0
24.0,7599.0
37.0,7743.0
34.0,7760.0
37.0,7910.0
20.0,7917.0
28.0,7957.0
30.0,7984.0
27.0,8004.0
45.0,8208.0
39.0,8249.0
29.0,8289.0
22.0,8313.0
27.0,8377.0
19.0,8396.0
30.0,8468.0
34.0,8493.0
35.0,8531.0
21.0,8773.0
18.0,8866.0
41.0,9091.0
34.0,9215.0
51.0,9225.0
30.0,9243.0
32.0,9435.0
38.0,9445.0
18.0,9468.0
42.0,9563.0
60.0,9605.0
19.0,9841.0
29.0,9994.0
17.0,10033.0
29.0,10049.0
41.0,10144.0
31.0,10303.0
35.0,10416.0
27.0,10461.0
37.0,10670.0
18.0,10844.0
41.0,10875.0
39.0,10890.0
41.0,11105.0
61.0,11622.0
46.0,12038.0
47.0,12173.0
36.0,12181.0
43.0,12608.0
45.0,12775.0
46.0,12915.0
45.0,13021.0
49.0,13142.0
55.0,13206.0
64.0,13407.0
64.0,13647.0
66.0,13870.0
57.0,13989.0
53.0,14089.0
51.0,14197.0
36.0,14620.0
28.0,14816.0
59.0,14952.0
39.0,15039.0
73.0,15049.0
41.0,15179.0
48.0,15204.0
37.0,16161.0
72.0,16239.0
72.0,16427.0
48.0,16462.0
62.0,16793.0
51.0,16925.0
71.0,17027.0
60.0,17201.0
70.0,17526.0
59.0,17666.0
91.0,17692.0
52.0,17742.0
65.0,18482.0
77.0,18731.0
84.0,18835.0
51.0,19274.0
66.0,19818.0
53.0,19906.0
58.0,20065.0
75.0,20140.0
88.0,20268.0
83.0,20539.0
48.0,20639.0
69.0,20969.0
41.0,21353.0
73.0,21757.0
79.0,22811.0
63.0,23245.0
90.0,23258.0
92.0,24296.0
60.0,24351.0
63.0,24692.0
63.0,24896.0
75.0,25275.0
70.0,25405.0
90.0,25715.0
111.0,26245.0
103.0,26408.0
117.0,26691.0
118.0,28024.0
40.0,28270.0
83.0,28477.0
90.0,29254.0
97.0,29422.0
92.0,30125.0
104.0,30538.0
96.0,34109.0
142.0,35112.0
105.0,35876.0
145.0,36307.0
160.0,39023.0
127.0,40756.0
169.0,42997.0
104.0,47672.0
179.0,49126.0
152.0,53464.0
163.0,56529.0
167.0,59634.0
302.0,60161.0
246.0,62398.0
236.0,62652.0
250.0,62931.0
267.0,63476.0
244.0,66676.0
248.0,74005.0
360.0,88456.0
