50 Cent
Aasif Mandvi
Adam LeFevre
Adam Scott
Aidan Quinn
Al Pacino
Alan Arkin
Alec Baldwin
Alec Guinness
Alfred Molina
Allison Janney
Amanda Seyfried
Amy Adams
Amy Poehler
Anna Kendrick
Anthony Hopkins
Anthony Mackie
Arielle Kebbel
Bai Ling
Beau Bridges
Ben Foster
Ben Kingsley
Ben Stiller
Benicio Del Toro
Beth Grant
Bill Hader
Bill Moseley
Bill Murray
Billy Burke
Billy Crudup
Bob Gunton
Bobby Cannavale
Bonnie Johnson
Brad Dourif
Brad Pitt
Bradley Cooper
Brett Rice
Brian Cox
Bruce Davison
Bruce McGill
Bruce Willis
Bryan Cranston
Burt Lancaster
C. Thomas Howell
Cam Gigandet
Carla Gugino
Carlos Alazraqui
Carmen Electra
Cary Grant
Cedric the Entertainer
Channing Tatum
Charlton Heston
Chazz Palminteri
Chlo? Moretz
Chris Evans
Chris Messina
Chris Mulkey
Chris Parnell
Chris Pratt
Christa Campbell
Christian Bale
Christian Slater
Christoph Waltz
Christopher Lloyd
Christopher McDonald
Christopher Plummer
Christopher Walken
Ciar?n Hinds
Clark Gable
Clifton Powell
Clint Eastwood
Clint Howard
Cloris Leachman
Colin Farrell
Colin Firth
Craig Robinson
Dakota Fanning
Daniel Craig
Daniel Day-Lewis
Daniel Roebuck
Danny Glover
Danny Huston
Danny McBride
Danny Trejo
David Carradine
David Cross
David Jensen
David Koechner
David Strathairn
Dean Cain
Dee Wallace
Denis O'Hare
Dennis Quaid
Denzel Washington
Dermot Mulroney
Diora Baird
Don Cheadle
Dustin Hoffman
Dwayne Johnson
Ed Harris
Ed Helms
Edrick Browne
Edward Herrmann
Edward Norton
Elaine Hendrix
Elias Koteas
Elizabeth Banks
Emily Blunt
Emma Thompson
Eric Roberts
F. Murray Abraham
Forest Whitaker
Frances Conroy
Frank Welker
Fred Armisen
Fred Willard
Gary Cooper
Gary Oldman
Gene Hackman
Gene Kelly
Geoffrey Rush
George C. Scott
George Clooney
Giancarlo Esposito
Gina Gershon
Glenn Morshower
Gregory Peck
Harrison Ford
Heath Ledger
Heather Graham
Helen Mirren
Henry Fonda
Hugh Jackman
Humphrey Bogart
Ian McKellen
Idris Elba
J.D. Evermore
J.K. Simmons
Jack Lemmon
Jack Nicholson
Jackson Rathbone
James Caan
James Cagney
James Cromwell
James Dean
James Duval
James Franco
James Marsden
James Remar
James Russo
James Stewart
Jamie Foxx
Jane Lynch
Jason Bateman
Jason Mewes
Jason Robards
Jason Statham
Javier Bardem
Jeff Bennett
Jeff Bridges
Jeff Chase
Jeffrey Dean Morgan
Jeffrey Tambor
Jeffrey Wright
Jenna Fischer
Jennifer Aniston
Jennifer Coolidge
Jeremy Irons
Jeremy Sisto
Jesse Eisenberg
Jessica Alba
Jessica Biel
Jessica Chastain
Jim Carrey
Joaquin Phoenix
Joe Chrest
Joe Pesci
Joel David Moore
Joel Michaely
John C. Reilly
John Carroll Lynch
John Cusack
John Goodman
John Heard
John Leguizamo
John Malkovich
John Savage
John Wayne
Johnny Depp
Jon Voight
Jonah Hill
Joseph Gordon-Levitt
Josh Brolin
Josh Lucas
Judy Greer
Julianne Moore
Juno Temple
Justin Long
Kathryn Hahn
Kathy Bates
Keith David
Kellan Lutz
Ken Jeong
Kevin Bacon
Kevin Corrigan
Kevin Durand
Kevin Hart
Kevin Kline
Kevin Spacey
Kirk Douglas
Kris Kristofferson
Kristen Bell
Kristen Stewart
Kristen Wiig
Lacey Chabert
Lance E. Nichols
Lance Henriksen
Lauren Ambrose
Laurence Olivier
Leonardo DiCaprio
Liam Neeson
Liev Schreiber
Lin Shaye
Lindsay Lohan
Lochlyn Munro
Louis Mandylor
Lucy Punch
Luke Wilson
M. C. Gainey
Malcolm McDowell
Malin ?kerman
Marc Macaulay
Marcia Gay Harden
Margo Martindale
Maria Bello
Mark Boone Junior
Mark Strong
Marlon Brando
Martin Sheen
Martin Starr
Mary Steenburgen
Matt Damon
Matt Walsh
Matthew McConaughey
Mel Gibson
Melanie Lynskey
Melissa Leo
Michael Biehn
Michael Caine
Michael Clarke Duncan
Michael Douglas
Michael Ironside
Michael Madsen
Michael Rooker
Michael Shannon
Michael Sheen
Michelle Monaghan
Mike Epps
Mike Vogel
Mircea Monroe
Missi Pyle
Molly Shannon
Morgan Freeman
