Date,Outlook,Temperature,Humidity,Windy,Result
7/1/14,sunny,85,85,FALSE,Don't Play
7/2/14,sunny,80,90,TRUE,Don't Play
7/3/14,overcast,83,78,FALSE,Play
7/4/14,rain,70,96,FALSE,Play
7/5/14,rain,68,80,FALSE,Play
7/6/14,rain,65,70,TRUE,Don't Play
7/7/14,overcast,64,65,TRUE,Play
7/8/14,sunny,72,95,FALSE,Don't Play
7/9/14,sunny,69,70,FALSE,Play
7/10/14,rain,75,80,FALSE,Play
7/11/14,sunny,75,70,TRUE,Play
7/12/14,overcast,72,90,TRUE,Play
7/13/14,overcast,81,75,FALSE,Play
7/14/14,rain,71,80,TRUE,Don't Play
