family_income,gpa,parent_avg_age
31402.0,3.18,32
32247.0,2.98,48
34732.0,2.85,61
53759.0,3.39,62
50952.0,3.1,45
38584.0,2.9,47
39178.0,3.01,51
39796.0,3.13,30
40921.0,3.15,62
24392.0,2.85,36
45723.0,3.04,38
39301.0,3.03,52
30997.0,2.71,31
57117.0,3.22,38
50981.0,2.94,62
13598.0,2.29,56
33240.0,2.9,31
59458.0,3.12,54
36266.0,2.87,30
39683.0,2.94,46
51854.0,2.89,61
70500.0,3.29,42
30139.0,3.05,45
59993.0,3.13,33
38206.0,3.34,63
51310.0,2.93,51
50847.0,3.23,63
41298.0,3.09,48
25258.0,3.01,62
8411.0,2.25,63
2657.0,2.06,64
84447.0,3.82,33
61058.0,3.13,45
37895.0,2.92,53
57156.0,3.06,56
57334.0,3.62,31
50828.0,3.44,61
9034.0,2.18,37
12627.0,2.42,64
86567.0,3.54,38
54622.0,3.09,63
50590.0,3.39,30
110222.0,3.67,59
30795.0,3.09,46
51340.0,2.88,52
28620.0,2.8,63
32784.0,2.85,66
47161.0,3.35,43
57865.0,3.07,57
22995.0,2.83,51
16191.0,2.59,32
55589.0,2.95,40
65707.0,3.36,41
57628.0,2.97,38
32389.0,2.83,58
33698.0,3.12,64
21508.0,3.03,55
41845.0,2.98,44
30516.0,2.55,61
56567.0,2.98,39
33343.0,2.77,41
28201.0,2.87,50
39914.0,2.9,40
75227.0,3.37,64
33035.0,2.86,42
69150.0,3.13,52
38389.0,3.12,49
57208.0,3.14,30
48921.0,3.3,43
71148.0,3.32,64
27206.0,2.51,34
29891.0,2.61,35
49648.0,2.86,60
26632.0,2.98,59
20704.0,2.45,46
57777.0,3.18,49
32006.0,3.19,65
55521.0,3.17,51
17798.0,2.82,54
39640.0,2.9,45
38718.0,3.35,30
71169.0,3.33,64
21630.0,2.74,43
48685.0,2.94,34
33614.0,3.28,62
13871.0,2.66,38
36784.0,3.0,50
19932.0,2.92,60
54689.0,3.0,37
47323.0,2.89,31
52609.0,3.22,33
59438.0,3.45,56
32873.0,3.01,45
43040.0,2.99,44
1841.0,2.08,46
29465.0,2.98,52
12394.0,2.54,30
40657.0,2.82,53
31524.0,2.95,42
52278.0,3.02,46
49473.0,3.08,47
50358.0,3.61,32
20589.0,2.94,37
36476.0,2.79,55
96705.0,3.61,33
32263.0,2.98,38
50387.0,2.86,65
30525.0,3.09,57
27838.0,2.88,32
42766.0,3.06,60
31139.0,3.01,55
67292.0,3.62,61
40510.0,3.1,54
52300.0,2.92,53
35414.0,2.67,42
48828.0,2.88,35
43479.0,3.26,44
34922.0,2.76,46
24312.0,2.91,31
42187.0,2.82,42
23502.0,3.03,49
88502.0,3.7,59
15843.0,2.66,47
54537.0,3.07,63
30057.0,2.73,34
101201.0,3.57,44
27019.0,2.76,34
29431.0,3.15,53
52276.0,3.07,64
45099.0,2.82,61
49128.0,3.26,45
52280.0,3.51,35
30309.0,2.74,55
17719.0,2.64,30
10483.0,2.27,34
28515.0,2.63,41
24175.0,3.11,57
9416.0,2.33,39
26237.0,2.95,52
37432.0,3.11,55
30159.0,3.23,39
32338.0,2.6,59
46004.0,3.31,51
30697.0,3.32,54
75514.0,3.38,47
52325.0,2.96,50
40830.0,2.77,45
37655.0,3.19,66
28110.0,3.26,34
61291.0,3.07,45
24778.0,2.65,33
17887.0,2.66,52
27685.0,3.14,32
31206.0,3.36,35
41893.0,2.85,53
39421.0,3.35,58
72292.0,3.23,52
35303.0,2.97,51
33202.0,2.67,43
39129.0,3.46,44
45474.0,3.11,40
29344.0,2.65,51
63991.0,3.09,56
29040.0,3.27,55
51974.0,3.31,43
24908.0,2.61,57
24439.0,2.54,51
42542.0,3.23,40
39649.0,3.28,31
25850.0,3.03,63
34195.0,3.26,63
21352.0,2.49,37
43629.0,3.57,40
18001.0,2.74,53
22701.0,2.55,58
55288.0,3.0,34
44018.0,2.88,48
81078.0,3.66,50
29484.0,2.79,34
11830.0,2.3,59
36171.0,3.32,64
99162.0,3.53,59
21716.0,2.91,32
12721.0,2.25,59
51949.0,3.01,30
25895.0,2.86,66
78992.0,3.47,42
26336.0,3.01,56
31058.0,2.78,34
29457.0,3.0,54
13887.0,2.45,60
43450.0,3.01,66
36744.0,3.09,48
55499.0,3.11,65
55354.0,2.98,53
41911.0,3.18,55
47272.0,2.92,61
57143.0,3.18,46
25440.0,2.8,45
33912.0,3.48,61
40431.0,3.61,56
67057.0,3.21,44
45072.0,3.51,65
64816.0,3.27,53
57064.0,3.09,66
41882.0,2.96,35
101339.0,3.85,31
21859.0,2.52,51
49416.0,3.07,56
33741.0,3.03,58
79434.0,3.4,49
59142.0,3.28,56
24427.0,2.98,39
18309.0,2.35,31
19186.0,2.81,45
57924.0,2.98,56
51173.0,3.1,42
47259.0,3.29,59
87313.0,3.39,45
15596.0,2.71,41
24048.0,2.81,36
34205.0,3.08,52
79565.0,3.55,35
35906.0,3.0,49
67116.0,3.17,64
16020.0,2.67,32
25897.0,2.97,38
17535.0,2.79,53
104449.0,3.83,55
50237.0,3.19,33
63711.0,3.33,42
61040.0,3.46,49
41527.0,3.33,38
22719.0,2.92,43
53223.0,3.67,49
49119.0,3.12,41
38293.0,3.09,41
24750.0,3.17,39
31594.0,2.69,60
53109.0,3.03,45
74101.0,3.2,30
23255.0,2.56,46
31352.0,3.17,58
30816.0,2.77,47
13538.0,2.41,38
91285.0,3.57,35
19344.0,2.57,33
29040.0,2.83,45
33613.0,3.08,30
65064.0,3.34,62
18151.0,2.35,44
93855.0,3.47,47
31129.0,3.1,54
48894.0,3.16,37
47818.0,3.11,61
49331.0,2.93,47
61937.0,3.19,30
17909.0,2.5,50
63347.0,3.36,33
39306.0,3.25,32
64844.0,3.2,50
42374.0,2.87,65
49126.0,3.16,31
31176.0,3.1,41
54929.0,3.05,60
62107.0,3.63,35
26309.0,2.73,52
29275.0,2.6,36
44042.0,3.1,42
58292.0,3.22,66
41249.0,3.15,43
47091.0,3.37,39
37423.0,2.75,41
83432.0,3.45,44
12138.0,2.46,63
76353.0,3.26,32
54984.0,3.2,40
22688.0,3.11,64
30364.0,2.67,51
72018.0,3.24,40
19314.0,2.62,57
25527.0,2.51,34
22687.0,2.75,45
48525.0,3.23,66
59907.0,3.22,46
102237.0,3.7,65
18344.0,2.7,65
39340.0,3.24,45
18404.0,2.66,48
45116.0,3.06,56
25736.0,3.16,38
59226.0,3.07,40
20734.0,2.66,54
28612.0,2.75,36
17963.0,2.64,34
43266.0,2.81,58
31878.0,3.05,30
22409.0,2.55,40
46684.0,2.9,59
39107.0,3.28,57
25086.0,2.51,47
38029.0,2.69,59
35660.0,3.04,34
69146.0,3.24,61
14490.0,2.67,42
64280.0,3.09,47
26722.0,2.79,41
11618.0,2.35,61
50586.0,2.94,38
33659.0,2.99,37
87155.0,3.46,49
44042.0,3.21,41
44061.0,2.89,34
43916.0,3.13,42
18673.0,2.49,57
50597.0,3.25,30
37498.0,2.94,60
33422.0,2.78,52
48062.0,3.04,40
47104.0,3.14,38
31464.0,3.02,30
28797.0,2.59,37
54189.0,3.38,41
70888.0,3.55,64
47962.0,3.31,61
56260.0,2.96,57
45523.0,3.65,37
58354.0,3.04,47
37091.0,3.65,34
23724.0,2.92,48
78851.0,3.28,54
18263.0,2.88,40
53344.0,3.37,34
37172.0,3.16,33
30664.0,2.87,60
18298.0,2.77,37
35174.0,2.66,36
18831.0,2.86,50
31302.0,2.84,48
23282.0,2.82,45
21870.0,2.82,59
18484.0,2.83,58
62656.0,3.25,38
10974.0,2.5,49
34773.0,2.97,35
40069.0,2.74,64
35447.0,2.87,50
26184.0,2.49,45
45536.0,3.02,48
42998.0,3.19,36
36357.0,2.96,48
42322.0,2.9,32
29244.0,2.79,51
32462.0,2.72,55
37505.0,3.3,39
47629.0,2.95,48
41356.0,3.07,64
24096.0,2.45,38
46423.0,3.32,66
39528.0,2.82,37
61910.0,3.2,47
14884.0,2.55,33
19231.0,2.71,61
16938.0,2.6,47
54988.0,3.04,64
34841.0,2.99,31
52639.0,3.06,51
44623.0,2.82,31
36948.0,2.7,52
39929.0,3.24,46
26978.0,2.77,47
35481.0,2.75,53
48261.0,2.84,32
42224.0,3.18,38
69232.0,3.23,53
50111.0,3.06,42
45859.0,3.11,42
34134.0,2.9,38
54852.0,3.17,37
36399.0,2.92,64
16501.0,2.8,32
36216.0,2.83,61
41225.0,2.84,50
37663.0,3.28,46
56945.0,3.45,33
46600.0,2.95,59
45922.0,3.32,33
48494.0,3.32,34
45935.0,2.99,62
40199.0,3.19,54
60321.0,3.44,55
39664.0,2.83,43
40559.0,2.96,38
23792.0,3.1,63
20785.0,2.59,39
26614.0,2.69,61
57392.0,3.26,37
16320.0,2.78,59
65217.0,3.51,34
29655.0,3.08,49
48708.0,2.91,63
24854.0,2.65,64
64749.0,3.17,58
20524.0,2.79,31
34395.0,2.93,60
44699.0,2.89,35
31778.0,2.7,64
47708.0,2.85,41
7710.0,2.23,35
8103.0,2.28,34
30330.0,2.78,64
35424.0,2.94,52
38257.0,3.09,43
48948.0,2.86,47
42173.0,3.02,30
50509.0,3.15,43
45865.0,2.97,44
28808.0,2.83,55
22309.0,2.83,34
65093.0,3.23,35
26845.0,2.96,40
30345.0,3.0,36
32697.0,2.67,44
29674.0,2.71,36
13682.0,2.67,53
18060.0,2.36,35
60878.0,3.44,40
26051.0,2.94,41
62983.0,3.23,62
32180.0,3.32,53
24161.0,2.69,63
34819.0,2.8,57
47254.0,3.18,66
22346.0,3.08,50
54548.0,3.01,57
29626.0,2.67,57
26089.0,3.02,63
83861.0,3.55,53
18007.0,2.72,35
36335.0,2.86,34
40652.0,3.19,65
27258.0,2.95,46
32989.0,3.24,62
44422.0,2.79,34
27227.0,2.71,40
21733.0,2.78,46
66937.0,3.18,65
45960.0,3.11,49
44877.0,3.16,58
34956.0,2.66,51
38643.0,3.05,38
53601.0,3.16,53
38763.0,3.03,58
18077.0,2.62,51
51848.0,3.14,54
36582.0,2.84,37
16636.0,2.68,52
26521.0,2.78,37
31020.0,2.98,41
77821.0,3.55,50
51974.0,2.99,56
42825.0,2.96,34
44525.0,3.2,54
37899.0,3.12,46
34728.0,2.98,48
44712.0,3.42,55
14265.0,2.47,53
34497.0,2.81,38
29257.0,2.67,56
43826.0,2.85,47
55949.0,3.21,60
50642.0,3.14,32
62639.0,3.05,61
14008.0,2.53,62
63239.0,3.06,63
28199.0,2.68,32
97180.0,3.66,33
43989.0,3.42,54
33254.0,2.85,31
14671.0,2.75,30
27252.0,3.18,59
32128.0,2.84,59
45169.0,3.13,63
