GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0500000US01001,01001,"Autauga County, Alabama",20304,458,14272,457,11184,514,6032,480,6.1,1.0,3.4,1.1,1.1,0.7,13.3,2.9,6.1,1.3,2.8,1.1,0.7,0.6,14.6,4.1,9.1,1.5,6.7,1.5,4.3,1.5,14.3,3.0,12.3,1.7,10.9,1.9,8.8,2.1,16.5,4.4,14.5,1.9,13.0,1.8,12.4,2.1,17.6,4.3,18.7,1.9,21.3,2.1,23.2,2.5,12.1,3.0,12.5,1.6,15.6,2.1,17.9,2.4,4.6,1.9,15.8,1.9,19.6,2.3,23.5,2.7,6.0,2.4,3.1,0.8,4.0,1.0,4.9,1.3,1.0,1.1,1.9,0.7,2.7,0.9,3.2,1.2,0.1,0.1,52475,2760,64417,3666,74573,2952,30101,2713,64414,2094,75214,2762,N,N,37396,2969,25.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.6,(X)
0500000US01003,01003,"Baldwin County, Alabama",73058,1241,50624,1138,40206,1160,22434,1144,6.7,0.8,4.3,0.7,2.1,0.6,13.4,2.1,5.0,0.6,2.8,0.5,1.4,0.4,10.0,1.6,12.1,0.9,8.6,1.1,6.1,1.0,20.7,2.1,10.4,0.9,8.4,1.0,7.1,1.0,14.4,1.9,15.6,1.0,15.3,1.3,14.4,1.4,16.9,2.1,18.9,1.1,21.1,1.5,22.4,1.6,13.1,1.9,12.1,0.9,14.4,1.3,16.4,1.5,6.1,1.3,11.4,0.9,14.5,1.3,17.0,1.5,4.3,1.2,4.1,0.5,5.6,0.7,6.9,0.9,0.4,0.2,3.7,0.5,5.0,0.8,6.1,1.0,0.7,0.3,50183,1378,61621,2685,70733,2028,28845,1767,67238,1867,78740,2386,88313,2582,39431,2240,28.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.6,(X)
0500000US01005,01005,"Barbour County, Alabama",9145,311,6003,280,3971,251,3142,288,12.5,2.3,9.4,2.6,3.7,2.9,19.6,3.9,10.9,1.6,6.5,1.6,2.7,1.3,20.5,3.8,15.9,2.3,11.6,2.4,7.6,2.3,23.7,4.0,9.8,1.7,9.3,1.9,8.5,2.3,10.4,3.2,15.8,2.6,18.3,2.9,19.1,3.6,11.4,4.0,16.8,2.4,20.2,2.8,23.7,3.4,8.2,2.5,8.6,1.9,11.2,2.3,15.3,3.2,3.9,2.4,6.4,1.5,8.9,2.2,12.7,3.2,1.3,0.9,2.7,0.9,3.6,1.4,5.3,2.2,0.8,1.2,0.7,0.5,0.9,0.6,1.4,1.0,0.2,0.4,35634,2440,44730,2808,58776,4568,19450,2097,46592,2267,55901,2739,N,N,27590,2647,38.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.3,(X)
0500000US01007,01007,"Bibb County, Alabama",7078,390,5344,338,4021,381,1734,322,7.5,1.9,5.2,2.2,2.1,1.3,19.4,5.8,6.3,2.4,3.4,2.5,1.1,1.2,15.1,5.5,17.9,3.2,17.6,4.0,9.8,3.2,21.7,7.2,14.5,3.6,11.7,3.5,11.6,3.8,21.6,7.5,17.9,2.9,20.1,4.2,22.3,4.8,9.7,4.8,15.5,3.2,18.9,3.9,24.2,4.4,5.4,3.4,10.7,2.6,12.4,2.7,15.1,3.4,5.3,5.6,7.1,2.4,7.5,2.3,10.0,3.1,1.9,2.0,1.9,1.0,2.5,1.3,2.7,1.5,0.0,1.7,0.6,0.5,0.8,0.7,1.1,0.9,0.0,1.7,37984,3295,42846,3180,51764,3463,19339,5468,50508,4437,56096,5547,N,N,27586,4392,38.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.8,(X)
0500000US01009,01009,"Blount County, Alabama",20934,399,15682,468,12363,496,5252,399,8.2,1.4,6.1,1.5,2.8,1.3,16.8,3.4,5.8,0.9,2.3,0.7,1.8,0.8,16.1,3.0,12.2,1.5,10.4,1.4,7.9,1.5,18.6,3.6,13.2,1.7,12.5,2.1,12.2,2.1,15.4,3.4,16.0,2.0,16.1,2.3,15.1,2.3,16.3,3.9,21.2,2.0,24.4,2.4,26.4,2.8,10.8,3.1,10.9,1.6,12.4,1.8,14.6,2.3,4.1,1.9,9.2,1.4,11.7,1.9,14.3,2.4,1.1,0.9,2.5,0.6,2.9,0.9,3.6,1.1,0.6,0.6,0.9,0.4,1.1,0.4,1.3,0.6,0.3,0.4,44409,2225,51814,2484,60456,2577,23934,3329,54689,1953,61411,2377,68735,2794,30829,2413,27.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.8,(X)
0500000US01011,01011,"Bullock County, Alabama",3746,216,2265,269,1050,186,1481,233,16.6,4.3,11.4,5.0,0.0,2.8,25.4,8.1,7.5,3.2,6.0,4.3,0.5,0.9,9.4,5.7,14.8,3.8,7.8,3.3,7.8,5.7,25.0,8.3,11.2,3.4,11.4,4.1,8.0,4.0,11.2,6.0,14.4,4.8,17.7,7.0,19.2,8.1,9.4,4.5,21.2,5.1,24.8,6.2,26.5,7.8,17.7,10.4,7.8,3.1,10.9,4.2,20.1,8.6,2.0,2.0,4.5,2.1,6.8,3.5,11.0,6.5,0.0,2.0,1.1,1.2,1.8,2.1,3.9,4.5,0.0,2.0,0.8,1.0,1.4,1.6,3.0,3.4,0.0,2.0,34804,7035,44724,5980,63391,7368,21998,2257,43910,4404,53542,6489,N,N,28216,5247,47.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),43.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),52.4,(X)
0500000US01013,01013,"Butler County, Alabama",8253,252,5384,321,3276,257,2869,270,13.2,2.0,8.7,2.1,2.7,1.4,23.1,4.6,10.3,1.8,5.8,1.9,2.7,1.4,19.8,4.0,18.2,2.2,16.3,2.1,12.6,2.8,22.0,4.9,11.8,1.8,13.2,2.5,10.6,2.6,9.5,3.1,15.0,1.9,16.2,2.5,16.4,3.1,10.5,3.2,15.7,2.2,19.2,2.7,25.2,4.3,8.4,3.5,7.2,1.3,9.4,1.7,13.1,2.7,3.8,2.0,6.6,1.5,8.2,1.8,12.3,2.7,3.0,2.5,1.6,0.7,2.3,1.1,3.4,1.8,0.0,1.0,0.5,0.3,0.7,0.5,1.2,0.8,0.0,1.0,31571,1876,39681,2995,56258,2484,17242,1892,43157,1984,51426,2636,N,N,26370,2848,28.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.4,(X)
0500000US01015,01015,"Calhoun County, Alabama",45348,705,30601,767,21343,793,14747,671,11.5,1.0,7.7,1.0,3.0,0.8,20.4,2.0,7.5,0.8,5.3,1.0,2.1,0.6,12.7,1.7,13.5,1.2,9.7,1.1,6.8,1.1,21.7,2.6,11.7,1.1,10.4,1.3,8.3,1.4,14.0,2.0,14.9,1.2,15.5,1.4,16.0,1.7,13.5,2.0,18.0,1.3,21.2,1.7,24.5,2.1,11.3,1.9,10.1,0.9,13.0,1.2,16.2,1.6,3.3,1.2,9.2,0.9,12.3,1.3,16.3,1.7,2.3,0.8,2.0,0.4,2.8,0.6,4.0,0.8,0.4,0.3,1.6,0.4,2.1,0.6,2.8,0.9,0.5,0.4,40919,1054,51455,1895,63319,2069,22232,1318,53011,1493,62930,2200,75626,2737,30958,1575,31.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.2,(X)
0500000US01017,01017,"Chambers County, Alabama",13901,393,8818,410,5706,372,5083,389,12.8,1.9,10.7,2.0,2.3,1.1,18.3,3.2,10.3,1.6,5.3,1.7,2.5,1.4,19.7,3.6,15.5,2.2,11.2,2.0,7.7,1.9,22.4,3.6,13.5,1.5,13.3,2.0,13.0,2.5,14.0,2.9,15.6,2.0,16.6,2.5,17.5,3.2,14.0,3.1,14.3,1.9,17.7,2.5,22.9,3.3,7.1,1.9,8.5,1.6,11.3,2.1,14.3,2.8,2.7,1.5,6.6,1.2,9.7,1.8,13.6,2.7,1.4,1.2,1.2,0.5,1.8,0.8,2.5,1.1,0.2,0.2,1.6,0.6,2.3,0.9,3.6,1.3,0.3,0.3,32835,2103,43342,1972,57639,4762,19709,2401,49088,3535,60997,5435,N,N,26782,2132,29.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.8,(X)
