REGCODE,DIVCODE,STATEFP,COUNTYFP,CSACODE,CBSACODE,METDCODE,METMICSA,CENTOUTL,ADULTMEN,MSM12MTH,MSM5YEAR
3,6,01,001,,33860,,1,,19410,333,514
3,6,01,003,380,19300,,1,1,69724,925,1429
3,6,01,005,,,,,,11567,82,127
3,6,01,007,142,13820,,1,2,9508,119,184
3,6,01,009,142,13820,,1,2,21368,601,928
3,6,01,011,,,,,,4597,73,113
3,6,01,013,,,,,,7088,39,60
3,6,01,015,,11500,,1,1,43018,692,1070
3,6,01,017,194,46740,,2,1,12467,122,188
3,6,01,019,,,,,,10194,56,87
3,6,01,021,142,13820,,1,2,16117,201,311
3,6,01,023,,,,,,5012,129,200
3,6,01,025,,,,,,8980,49,76
3,6,01,027,,,,,,5095,103,159
3,6,01,029,,,,,,5555,199,308
3,6,01,031,222,21460,,2,1,18737,491,758
3,6,01,033,,22520,,1,1,20005,187,288
3,6,01,035,,,,,,4789,26,41
3,6,01,037,142,45180,,2,2,4444,29,45
3,6,01,039,,,,,,13847,367,568
3,6,01,041,,,,,,5128,28,44
3,6,01,043,142,18980,,2,1,30274,209,323
3,6,01,045,222,37120,,2,1,18496,190,294
3,6,01,047,,42820,,2,1,14253,78,121
3,6,01,049,,,,,,25787,227,352
3,6,01,051,,33860,,1,1,29601,219,338
3,6,01,053,,,,,,15423,184,284
3,6,01,055,,23460,,1,1,38227,373,577
3,6,01,057,,,,,,6431,35,55
3,6,01,059,,,,,,11635,191,296
3,6,01,061,222,20020,,1,2,9991,70,108
3,6,01,063,,,,,,3142,17,27
3,6,01,065,,46220,,1,2,5533,90,139
3,6,01,067,222,20020,,1,2,6382,45,69
3,6,01,069,222,20020,,1,1,36294,316,488
3,6,01,071,174,42460,,2,1,20067,120,185
3,6,01,073,142,13820,,1,1,233379,6818,10540
3,6,01,075,,,,,,5359,29,46
3,6,01,077,,22520,,1,1,34483,407,630
3,6,01,079,290,19460,,1,2,12708,142,219
3,6,01,081,194,12220,,1,1,55081,495,765
3,6,01,083,290,26620,,1,2,32747,229,354
3,6,01,085,,33860,,1,2,3884,27,42
3,6,01,087,,,,,,7471,41,64
3,6,01,089,290,26620,,1,1,125969,1583,2447
3,6,01,091,,,,,,7242,40,62
3,6,01,093,,,,,,11825,215,332
3,6,01,095,290,10700,,2,1,34211,441,682
3,6,01,097,380,33660,,1,1,146239,2195,3393
3,6,01,099,,,,,,8104,87,135
3,6,01,101,,33860,,1,1,80252,849,1313
3,6,01,103,290,19460,,1,1,44419,507,783
3,6,01,105,,,,,,3619,20,31
3,6,01,107,,46220,,1,2,6969,49,75
3,6,01,109,,45980,,2,1,12450,82,128
3,6,01,111,,,,,,8412,46,72
3,6,01,113,194,17980,,1,1,19520,253,391
3,6,01,115,142,13820,,1,2,31981,762,1177
3,6,01,117,142,13820,,1,1,71363,1416,2190
3,6,01,119,,,,,,4690,26,40
3,6,01,121,142,45180,,2,1,30533,531,821
3,6,01,123,,,,,,15371,240,371
3,6,01,125,,46220,,1,1,73904,703,1086
3,6,01,127,142,13820,,1,2,24780,676,1044
3,6,01,129,,,,,,6287,48,75
3,6,01,131,,,,,,3884,41,63
3,6,01,133,,,,,,9261,51,79
4,9,02,013,,,,,,2125,35,55
4,9,02,016,,,,,,3206,48,74
4,9,02,020,,11260,,1,1,111307,1644,2542
4,9,02,050,,,,,,5864,111,171
4,9,02,060,,,,,,377,2,3
4,9,02,068,,,,,,835,16,25
4,9,02,070,,,,,,1729,10,15
4,9,02,090,,21820,,1,1,39373,378,584
4,9,02,100,,,,,,1125,6,10
4,9,02,105,,,,,,925,5,8
4,9,02,110,,27940,,2,1,12502,215,332
4,9,02,122,,,,,,22687,125,193
4,9,02,130,,28540,,2,1,5413,30,46
4,9,02,150,,,,,,5312,150,232
4,9,02,164,,,,,,466,3,4
4,9,02,170,,11260,,1,2,33856,257,397
4,9,02,180,,,,,,3452,19,29
4,9,02,185,,,,,,4699,26,40
4,9,02,188,,,,,,2706,44,68
4,9,02,195,,,,,,1588,9,14
4,9,02,198,,,,,,2366,39,60
4,9,02,220,,,,,,3459,19,29
4,9,02,230,,,,,,472,3,4
4,9,02,240,,,,,,2887,16,25
4,9,02,261,,,,,,3921,33,51
4,9,02,270,,,,,,2358,13,20
4,9,02,275,,,,,,916,5,8
4,9,02,282,,,,,,287,2,2
4,9,02,290,,,,,,2251,23,36
4,8,04,001,,,,,,24731,161,249
4,8,04,003,,43420,,1,1,51600,788,1218
4,8,04,005,,22380,,1,1,50728,583,901
4,8,04,007,,37740,,2,1,20782,149,230
4,8,04,009,,40940,,2,1,14691,81,125
4,8,04,011,,,,,,3162,49,76
4,8,04,012,,,,,,8578,47,73
4,8,04,013,,38060,,1,1,1408797,56857,87894
4,8,04,015,332,29420,,1,1,80695,770,1190
4,8,04,017,,43320,,2,1,37856,246,380
4,8,04,019,536,46060,,1,1,371308,6623,10238
4,8,04,021,,38060,,1,1,148297,3190,4931
4,8,04,023,536,35700,,2,1,15335,84,130
4,8,04,025,,39140,,1,1,83457,949,1467
4,8,04,027,,49740,,1,1,73266,803,1241
3,7,05,001,,,,,,6932,38,59
3,7,05,003,,,,,,7816,43,66
3,7,05,005,,34260,,2,1,16008,148,229
3,7,05,007,,22220,,1,1,80293,1112,1718
3,7,05,009,,25460,,2,1,13824,138,214
3,7,05,011,,,,,,4200,151,234
3,7,05,013,,15780,,2,2,2182,12,19
3,7,05,015,,,,,,10522,234,362
3,7,05,017,,,,,,4347,66,102
3,7,05,019,,11660,,2,1,8682,58,89
3,7,05,021,,,,,,5953,37,57
3,7,05,023,,,,,,10193,56,87
3,7,05,025,340,38220,,1,2,3177,22,34
3,7,05,027,,31620,,2,1,8910,49,76
3,7,05,029,,,,,,7907,100,155
3,7,05,031,308,27860,,1,1,35354,382,591
3,7,05,033,,22900,,1,1,22155,166,256
3,7,05,035,368,32820,,1,1,16720,215,332
3,7,05,037,,,,,,6276,35,53
3,7,05,039,,,,,,2910,16,25
3,7,05,041,,,,,,4380,24,37
3,7,05,043,,,,,,6827,38,58
3,7,05,045,340,30780,,1,2,42381,389,601
3,7,05,047,,,,,,6626,36,56
3,7,05,049,,,,,,4713,26,40
3,7,05,051,284,26300,,1,1,36283,550,850
3,7,05,053,340,30780,,1,2,6658,68,105
3,7,05,055,308,37500,,2,1,15472,130,202
3,7,05,057,,,,,,7892,43,67
3,7,05,059,284,31680,,2,1,13137,72,112
3,7,05,061,,,,,,4741,26,40
3,7,05,063,,12900,,2,1,13408,172,267
3,7,05,065,,,,,,5637,70,108
3,7,05,067,,,,,,6987,54,84
3,7,05,069,340,38220,,1,1,28013,251,388
3,7,05,071,,,,,,9705,53,83
3,7,05,073,,,,,,2790,15,24
3,7,05,075,,,,,,6404,49,76
3,7,05,077,,,,,,4656,26,40
3,7,05,079,340,38220,,1,2,7238,453,701
3,7,05,081,,45500,,1,2,4767,33,52
3,7,05,083,,,,,,8311,46,71
3,7,05,085,340,30780,,1,1,24315,170,263
3,7,05,087,,22220,,1,2,5950,71,109
3,7,05,089,,,,,,6783,56,87
3,7,05,091,,45500,,1,1,15924,480,742
3,7,05,093,,14180,,2,1,15809,87,134
3,7,05,095,,,,,,2897,16,25
3,7,05,097,,,,,,3670,20,31
3,7,05,099,,,,,,3255,18,28
3,7,05,101,,25460,,2,2,3279,36,56
3,7,05,103,,15780,,2,1,9082,50,77
3,7,05,105,340,30780,,1,2,3956,103,159
3,7,05,107,,25760,,2,1,6932,38,59
3,7,05,109,,,,,,4121,23,35
3,7,05,111,308,27860,,1,2,8846,76,117
3,7,05,113,,,,,,7554,42,64
3,7,05,115,,40780,,2,1,23475,250,387
3,7,05,117,,,,,,3261,18,28
3,7,05,119,340,30780,,1,1,138548,2254,3484
3,7,05,121,,,,,,6604,121,186
3,7,05,123,368,22620,,2,1,11906,127,197
3,7,05,125,340,30780,,1,1,40404,594,919
3,7,05,127,,,,,,4123,23,35
3,7,05,129,,,,,,3152,17,27
3,7,05,131,,22900,,1,1,45798,833,1287
3,7,05,133,,,,,,5895,42,66
3,7,05,135,,,,,,6612,36,56
3,7,05,137,,,,,,4857,82,127
3,7,05,139,,20980,,2,1,15056,109,169
3,7,05,141,,,,,,6709,42,64
3,7,05,143,,22220,,1,1,77215,706,1092
3,7,05,145,340,42620,,2,1,28637,158,243
3,7,05,147,,,,,,2622,14,22
3,7,05,149,,40780,,2,2,8102,45,69
4,9,06,001,488,41860,36084,1,1,578149,26473,40924
4,9,06,003,,,,,,541,3,5
4,9,06,005,,,,,,17202,95,146
4,9,06,007,,17020,,1,1,85820,1144,1768
4,9,06,009,,,,,,18050,160,248
4,9,06,011,,,,,,7757,92,143
4,9,06,013,488,41860,36084,1,2,387213,12274,18974
4,9,06,015,,18860,,2,1,12689,70,108
4,9,06,017,472,40900,,1,1,69949,1475,2280
4,9,06,019,260,23420,,1,1,327614,4899,7573
4,9,06,021,,,,,,10144,189,292
4,9,06,023,,21700,,2,1,53816,728,1126
4,9,06,025,,20940,,1,1,63985,714,1103
4,9,06,027,,,,,,7330,58,90
4,9,06,029,,12540,,1,1,307069,4130,6384
4,9,06,031,546,25260,,1,1,63697,810,1252
4,9,06,033,,17340,,2,1,25396,550,850
4,9,06,035,,45000,,2,1,19714,282,436
4,9,06,037,348,31080,31084,1,1,3666190,162706,251521
4,9,06,039,260,31460,,1,1,51378,614,950
4,9,06,041,488,41860,42034,1,1,98400,2672,4130
4,9,06,043,,,,,,7637,206,319
4,9,06,045,,46380,,2,1,33947,479,741
4,9,06,047,382,32900,,1,1,89216,931,1439
4,9,06,049,,,,,,3711,20,32
4,9,06,051,,,,,,6151,164,254
4,9,06,053,,41500,,1,1,158772,2971,4592
4,9,06,055,488,34900,,1,1,52729,839,1297
4,9,06,057,472,46020,,2,1,39178,439,678
4,9,06,059,348,31080,11244,1,1,1134443,40230,62190
4,9,06,061,472,40900,,1,1,130362,3191,4934
4,9,06,063,,,,,,7878,43,67
4,9,06,065,348,40140,,1,1,794695,45802,70803
4,9,06,067,472,40900,,1,1,517617,22354,34556
4,9,06,069,488,41940,,1,2,20042,415,641
4,9,06,071,348,40140,,1,1,722111,15564,24060
4,9,06,073,,41740,,1,1,1204728,52377,80968
4,9,06,075,488,41860,41884,1,1,359566,43074,66586
4,9,06,077,488,44700,,1,1,242564,3367,5205
4,9,06,079,,42020,,1,1,113037,1774,2742
4,9,06,081,488,41860,41884,1,1,276891,9935,15358
4,9,06,083,,42200,,1,1,164389,2764,4273
4,9,06,085,488,41940,,1,1,689137,23961,37041
4,9,06,087,488,42100,,1,1,103563,2286,3534
4,9,06,089,454,39820,,1,1,67090,808,1249
4,9,06,091,,,,,,1251,7,11
4,9,06,093,,,,,,17481,175,271
4,9,06,095,488,46700,,1,1,156933,2022,3126
4,9,06,097,488,42220,,1,1,185806,4685,7242
4,9,06,099,382,33700,,1,1,181332,1844,2851
4,9,06,101,472,49700,,1,1,33880,443,684
4,9,06,103,454,39780,,2,1,23387,294,455
4,9,06,105,,,,,,5785,196,302
4,9,06,107,546,47300,,1,1,150500,1658,2564
4,9,06,109,,43760,,2,1,23886,559,864
4,9,06,111,348,37100,,1,1,304817,4726,7306
4,9,06,113,472,40900,,1,2,75413,1642,2539
4,9,06,115,472,49700,,1,1,25925,438,677
4,8,08,001,216,19740,,1,1,161906,4702,7269
4,8,08,003,,,,,,5904,62,95
4,8,08,005,216,19740,,1,1,211570,5390,8332
4,8,08,007,,,,,,4892,90,140
4,8,08,009,,,,,,1444,8,12
4,8,08,011,,,,,,3470,19,30
4,8,08,013,216,14500,,1,1,118928,1471,2274
4,8,08,014,216,19740,,1,1,20900,796,1231
4,8,08,015,,,,,,8066,49,76
4,8,08,017,,,,,,871,5,7
4,8,08,019,216,19740,,1,2,3911,49,76
4,8,08,021,,,,,,2984,16,25
4,8,08,023,,,,,,1417,8,12
4,8,08,025,,,,,,3189,18,27
4,8,08,027,,,,,,1911,11,16
4,8,08,029,,,,,,12164,142,219
4,8,08,031,216,19740,,1,1,243002,16473,25465
4,8,08,033,,,,,,686,4,6
