amfAR Opioid and Health Indicator Database – Downloadable Dataset Dictionary,
,
"This data dictionary details all of the indicators available for download from the amfAR Opioid and Health Indicator Database. Please note that several indicators are updated on a weekly basis, and a change log does not currently exist. Indicators that update are identified in the technical notes below the indicator. The full, interactive database may be found at opioid.amfar.org. Please direct all questions regarding this database to dbinfo@amfar.org.",
,
Indicator Name,"Age-adjusted Drug Poisoning Deaths per 100,000 (Modeled)"
Name in Downloads,drugdeathrate_est
Short Description,"Age-adjusted drug poisoning deaths per 100,000 (modeled)"
Available Geography,County
Available Years,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015"
Source,Centers for Disease Control's National Center for Health Statistics Data Visualization Gallery.
Source Link,https://www.cdc.gov/nchs/data-visualization/drug-poisoning-mortality/
Description,"Estimated rate of death from drug poisoning, including both illicit and prescription drugs, per 100,000 U.S. standard population for 2000. Only available at county level. For state data, see drug deaths per 100,000. Estimates come from the Centers for Disease Control and Prevention (CDC) National Center for Health Statistics (NCHS) Data Visualization Gallery. The data are binned below 30 deaths per 100,000 in bins of size 2, and counties with estimated rates over 30 are coded as "">30"". It should be noted that these data are estimates, and are drawn from a model designed to generate stable estimates of death rates where data are sparse due to small population size. <strong>Specific county values should be interpreted with caution, and the actual measure of drug deaths per 100,000 should be preferred where available</strong>. More information on the estimation procedure available at the link below."
Technical Notes,"The data are binned, and for ease of presentation were coded as the lower end of the range. Values should be interpreted as a range from the reported value to the next multiple of two. For example, 6.1 should be interpreted as the range '6.1-8'. A value of 30 should be interpreted as '30+'."
,
Indicator Name,CURES Grant Funding
Name in Downloads,CURES_funds
Short Description,Grant funding allocated to respond to the opioid crisis through the 21st Century Cures Act
Available Geography,State
Available Years,2017
Source,Department of Health and Human Services.
Source Link,https://www.hhs.gov/about/news/2017/04/19/trump-administration-awards-grants-states-combat-opioid-crisis.htm
Description,Funding from the 21st Century Cures Act is provided through the State Targeted Response to the Opioid Crisis Grants administered by the Substance Abuse and Mental Health Services Administration (SAMHSA). These grants will help address the opioid crisis by providing support to states to supplement opioid abuse prevention and treatment activities.
Technical Notes,N/A
,
Indicator Name,Division of HIV/AIDS Prevention Funding
Name in Downloads,DHAP_funds
Short Description,Funding from the CDC Division of HIV/AIDS Prevention
Available Geography,State
Available Years,2016
Source,Centers for Disease Control and Prevention
Source Link,https://www.cdc.gov/nchhstp/stateprofiles/default.htm
Description,"The Centers for Disease Control and Prevention (CDC) provides leadership in improving public health by working with community, state, national, and international partners in surveillance, research, and prevention and evaluation activities. The Division of HIV/AIDS Prevention (DHAP) is responsible for HIV control activities."
Technical Notes,N/A
,
Indicator Name,Division of Viral Hepatitis Funding
Name in Downloads,DVH_funds
Short Description,Funding from the CDC Division of Viral Hepatitis
Available Geography,State
Available Years,2016
Source,Centers for Disease Control and Prevention
Source Link,https://www.cdc.gov/nchhstp/stateprofiles/default.htm
Description,"The Centers for Disease Control and Prevention (CDC) provides leadership in improving public health by working with community, state, national, and international partners in surveillance, research, and prevention and evaluation activities. The Division of Viral Hepatitis (DVH) is responsible for viral hepatitis control activities."
Technical Notes,N/A
,
Indicator Name,Drug-related Deaths
Name in Downloads,drugdeaths
Short Description,"The total number of deaths from drug poisoning, including both illicit and prescription drugs."
Available Geography,"State, District, County"
Available Years,"2010, 2011, 2012, 2013, 2014, 2015, 2016"
Source,Centers for Disease Control and Prevention
Source Link,https://wonder.cdc.gov
Description,"The total number of deaths from drug poisoning, including both illicit and prescription drugs. Drug poisoning data are from CDC's Detailed Cause of Death data and includes ICD-10 codes X40-X44, X60-X64, X85, and Y10-Y14. This includes both opioid and non-opioid drug poisonings, since the <a href='https://www.cdc.gov/mmwr/volumes/65/wr/pdfs/mm655051e1.pdf' target=_blank>CDC reports</a> that due to variable levels of completeness on death certificates only 28 states have high enough quality of data to report drug-specific poisoning data.  Data not available for Puerto Rico. All sub-national data representing zero to nine (0-9) deaths are suppressed. Corresponding sub-national denominator population figures are also suppressed when the population represents fewer than 10 persons. State-level estimates include suppressed values; as such, county and district estimates may not sum to state value."
Technical Notes,N/A
,
Indicator Name,"Drug-related Deaths per 100,000"
Name in Downloads,drugdeathrate
Short Description,"The rate of death from drug poisoning, including both illicit and prescription drugs, per 100,000 population."
Available Geography,"State, District, County"
Available Years,"2010, 2011, 2012, 2013, 2014, 2015, 2016"
Source,Centers for Disease Control and Prevention
Source Link,https://wonder.cdc.gov
Description,"The rate of death from drug poisoning, including both illicit and prescription drugs, per 100,000 population. Drug poisoning data are from CDC's Detailed Cause of Death data and includes ICD-10 codes X40-X44, X60-X64, X85, and Y10-Y14. This includes both opioid and non-opioid drug poisonings, since the <a href='https://www.cdc.gov/mmwr/volumes/65/wr/pdfs/mm655051e1.pdf' target=_blank>CDC reports</a> that due to variable levels of completeness on death certificates only 28 states have high enough quality of data to report drug-specific poisoning data.  These values are not age-adjusted. Data not available for Puerto Rico. All sub-national data representing zero to nine (0-9) deaths are suppressed. Corresponding sub-national denominator population figures are also suppressed when the population represents fewer than 10 persons. State-level estimates include suppressed values; as such, county and district estimates may not sum to state value."
Technical Notes,N/A
,
Indicator Name,"Estimated Acute Hepatitis C Cases per 100,000"
Name in Downloads,HCVacuterate
Short Description,"Estimated number of acute (newly diagnosed) cases of hepatitis C in one year, per 100,000 population"
Available Geography,State
Available Years,"2010, 2011, 2012, 2013, 2014, 2015"
Source,Centers for Disease Control and Prevention
Source Link,https://www.cdc.gov/hepatitis/statistics/
