Area	Repo	In prep/precourse	Importance	Standard
Systems	unix	y	1	Use common unix commands, including ls, cat, less, cd, pwd, mv, cp, rm, grep, mkdir, and rmdir.
Systems	unix		3	Redirect STDOUT into a file, and pipe it into another command such as wc, sort, grep, or cut.
Systems	unix	y	1	Edit files with a text editor.
Systems	unix		3	Make “survival edits” in vi.
Systems	unix	y	1	Distinguish between and interpret a relative and absolute path.
Systems	unix		4	Use job control to stop, background, foreground, and kill a process.
Systems	unix		5	Transform a file/stream by piping into sed, awk, or perl.
Systems	git-intro	y	1	Create a new repo on github and clone it locally.
Systems	git-intro	y	1	Make changes on github through add-commit-push.
Systems	git-intro		2	Update a repo with git pull and handle conflicts. 
Systems	git-intro		3	Get a old version of a file from a branch or commit.
Systems	git-intro		3	Switch branches and merge changes with a git branch.
Systems	git-intro		3	Create and pull from new git remote.
Systems	git-intro		2	Collaborate with a partner through github.
Systems	docker		2	Explain the differences between a docker container and a virtual machine.
Systems	docker		2	Start, stop, list, and remove docker containers on a machine.
Systems	docker		2	Run a docker image, mapping appropriate ports and volumes.
Systems	docker		2	Execute a shell inside a docker container.
Systems	docker		4	Build an image from a dockerfile.
Systems	aws		2	Configure an AWS account including setting up keys.
Systems	aws		2	Create EC2 instances and S3 buckets.
Systems	aws		2	Transfer data to and from S3 buckets and EC2 instances with awscli, boto3, and scp.
Systems	aws		2	Clone a github repo to an EC2 instance, pull updates, and run it using ssh.
Systems	aws		3	Configure an SSH tunnel to run Jupyter Notebooks on EC2 servers.
Systems	aws		4	Assign a static IP address to an EC2 instance.
Systems	aws		4	Start and return to a tmux session on an EC2 instance.
Systems	aws		4	Create an IAM role to give an EC2 instance S3 access, instead of using secret keys on EC2.
Systems	aws		4	Set up billing alerts for AWS.
Python/programming	python-intro	y	1	Write python code in a .py file and execute from ipython or a shell.
Python/programming	python-intro		1	Write and execute a well organized jupyter notebook with code and markdown.
Python/programming	python-intro		1	Write code using basic python data types (int, float, string, tuple, set, list, dict) and associated methods.
Python/programming	python-intro		1	Write functions that call other functions, using the returned value.
Python/programming	python-intro		1	Call a function with positional and keyword arguments.
Python/programming	python-intro		2	Write a function with default values for parameters.
Python/programming	python-intro		2	Determine the type and methods of any variable.
Python/programming	python-intro		2	Use print() with string literals and variable values with an f-string or the format method.
Python/programming	python-intro		2	Use a for loop over a list and with range(), zip() and enumerate().
Python/programming	python-intro		1	Write a list comprehension.
Python/programming	python-intro		2	Convert a for loop into a while loop using either a boolean condition or a break statement.
Python/programming	python-intro		3	Use list comprehension with if statements.
Python/programming	oop		2	Explain how object-oriented programming makes code more maintainable.
Python/programming	oop		2	Write a class with a __init__ method that sets attributes based on parameters.
Python/programming	oop		2	Write class methods that use and set values of attributes.
Python/programming	oop		3	Write magic methods that let the object work with operators.
Python/programming	oop		5	Contrast object-oriented and functional programming paradigms.
Python/programming	numpy		1	Create arrays from python lists and from lists of lists.
Python/programming	numpy		1	Index an array using single values or slices (basic indexing).
Python/programming	numpy		1	Find the shape of an array and explain what it means.
Python/programming	numpy		1	Create arrays to specifications using np.zeros(), np.ones(), np.arange(), and np.linspace().
Python/programming	numpy		3	Use the axis parameter on numpy functions.
Python/programming	numpy		3	Use argmax and argsort to find values in one array based upon values from a corresponding array.
Python/programming	numpy		2	Use reshape with -1 as an argument to add a dimension to an array.
Python/programming	numpy		2	State if two given two arrays can be broadcast together, and the final shape.
Python/programming	numpy		3	Index an array using another array (advanced indexing).
Python/programming	pandas		1	Create a pandas dataframe from lists of data, and array, or a CSV.
Python/programming	pandas		1	Use common methods and attributes to get basic information about a dataframe (columns, shape, size, info, describe).
Python/programming	pandas		1	Add a new column to a dataframe from values other columns
Python/programming	pandas		2	Use the loc and iloc indexers with single values, slices, or sequences.
Python/programming	pandas		2	Use boolean indexing with one or more conditions.
Python/programming	pandas		3	Use [] directly on a dataframe, and state whether an indexer in [] will select on rows or columns.
Python/programming	pandas		3	Use groupby() and aggregate the results.
Python/programming	pandas		5	Select data from a dataframe with a multiindex.
Python/programming	algorithmic-complexity		3	Explain why and how computational complexity is useful.
Python/programming	algorithmic-complexity		4	Describe why worst-case complexity can be important.
Python/programming	algorithmic-complexity		3	Identify the computational complexity of a function of O(1), O(n), or O(n**2).
Python/programming	algorithmic-complexity		4	Identity the computational complexity of a function of O(log(n)), O(n log(n)), or (2**n).
Python/programming	algorithmic-complexity		3	State the computational complexity of common list and dict methods.
Math	linear-algebra		2	Represent a vector as a 1D numpy array, or a 2D array in row or column form.
Math	linear-algebra		1	Calculate the dot product of vectors by hand and use this to determine the angle between them.
Math	linear-algebra		1	Calculate the magnitude and direction of a vector by hand.
Math	linear-algebra	y	1	Calculate matrix multiplication by hand.
Math	linear-algebra		2	Transpose a matrix by hand.
