interest_rate,fico_range,amount_requested,amount_funded_by_investors,loan_length
8.9,735-739,20000.0,20000.0,36.0
12.12,715-719,19200.0,19200.0,36.0
21.98,690-694,35000.0,35000.0,60.0
9.99,695-699,10000.0,9975.0,36.0
11.71,695-699,12000.0,12000.0,36.0
15.31,670-674,6000.0,6000.0,36.0
7.9,720-724,10000.0,10000.0,36.0
17.14,705-709,33500.0,33450.0,60.0
14.33,685-689,14675.0,14675.0,36.0
6.91,715-719,7000.0,7000.0,36.0
19.72,670-674,2000.0,2000.0,36.0
14.27,665-669,10625.0,10625.0,36.0
21.67,670-674,28000.0,27975.0,60.0
8.9,735-739,35000.0,34950.0,36.0
7.62,725-729,9600.0,9600.0,36.0
15.65,730-734,25000.0,24975.0,60.0
12.12,695-699,10000.0,10000.0,36.0
10.37,740-744,14000.0,13900.25,60.0
9.76,730-734,10000.0,10000.0,36.0
9.99,760-764,5200.0,5175.0,60.0
21.98,665-669,22000.0,21975.0,36.0
19.05,695-699,30000.0,30000.0,60.0
17.99,665-669,6500.0,6500.0,60.0
11.99,695-699,17400.0,17400.0,36.0
16.82,670-674,4000.0,4000.0,60.0
7.9,705-709,7200.0,7200.0,36.0
14.42,675-679,8000.0,8000.0,36.0
15.31,675-679,8000.0,8000.0,36.0
8.59,765-769,3000.0,3000.0,36.0
7.9,760-764,14500.0,14500.0,36.0
21.0,685-689,23850.0,23850.0,60.0
12.12,685-689,14000.0,14000.0,36.0
16.49,720-724,35000.0,34975.0,60.0
15.8,685-689,16000.0,16000.0,60.0
13.55,675-679,17350.0,7019.25,36.0
7.9,780-784,8000.0,7975.0,36.0
7.9,720-724,7200.0,7200.0,36.0
7.62,830-834,20125.0,20125.0,36.0
8.9,715-719,12000.0,11875.0,36.0
12.49,660-664,2400.0,1850.0,36.0
17.27,670-674,3200.0,3200.0,36.0
11.14,720-724,12725.0,12725.0,36.0
19.13,660-664,5500.0,5500.0,36.0
21.74,660-664,15650.0,15650.0,36.0
17.27,675-679,9000.0,9000.0,36.0
11.86,715-719,5000.0,5000.0,36.0
10.38,710-714,3000.0,3000.0,36.0
23.91,670-674,20000.0,19975.0,60.0
7.49,785-789,5450.0,5450.0,60.0
12.12,705-709,14000.0,14000.0,36.0
10.38,750-754,8800.0,8799.04,60.0
17.44,660-664,3000.0,3000.0,36.0
17.27,700-704,32000.0,32000.0,60.0
21.49,665-669,22250.0,22250.0,60.0
17.8,680-684,7325.0,7300.0,60.0
11.14,725-729,16450.0,16450.0,36.0
12.98,670-674,2500.0,2500.0,36.0
9.99,715-719,6000.0,6000.0,36.0
14.33,690-694,27575.0,27575.0,36.0
8.59,755-759,1000.0,1000.0,36.0
11.49,705-709,12000.0,12000.0,36.0
10.16,715-719,30000.0,30000.0,36.0
14.33,680-684,13500.0,13500.0,36.0
15.8,665-669,9000.0,9000.0,36.0
9.91,730-734,15000.0,15000.0,36.0
7.9,725-729,5300.0,5300.0,36.0
13.11,685-689,7000.0,7000.0,36.0
16.29,685-689,20000.0,19975.0,36.0
18.25,705-709,15000.0,14993.57,60.0
14.09,695-699,8000.0,8000.0,36.0
19.03,695-699,24000.0,23947.48,60.0
8.9,715-719,7500.0,7500.0,36.0
11.83,735-739,17000.0,16875.0,36.0
17.27,665-669,12000.0,12000.0,36.0
15.31,670-674,6000.0,6000.0,36.0
13.12,670-674,6725.0,825.0,36.0
6.76,790-794,4500.0,4500.0,36.0
10.83,700-704,1600.0,1600.0,36.0
17.77,665-669,10000.0,10000.0,36.0
7.9,725-729,18550.0,18525.0,36.0
13.06,710-714,7450.0,7450.0,36.0
7.62,760-764,3225.0,3225.0,36.0
17.77,680-684,23675.0,23675.0,36.0
12.12,690-694,12000.0,12000.0,36.0
16.49,695-699,25000.0,25000.0,36.0
11.12,725-729,16000.0,15850.0,36.0
8.9,810-814,4200.0,4175.0,36.0
14.09,675-679,10000.0,10000.0,36.0
7.51,750-754,6000.0,6000.0,36.0
13.11,685-689,6000.0,6000.0,36.0
16.29,665-669,7925.0,7925.0,36.0
7.62,765-769,16000.0,15925.0,36.0
15.81,670-674,9525.0,9500.0,36.0
14.35,675-679,6000.0,6000.0,36.0
14.96,675-679,10000.0,9975.0,36.0
6.62,750-754,7000.0,7000.0,36.0
5.99,765-769,4500.0,4500.0,36.0
11.14,735-739,12000.0,12000.0,36.0
19.72,665-669,10375.0,10375.0,36.0
18.75,670-674,4800.0,4800.0,36.0
13.11,700-704,6400.0,6400.0,36.0
7.9,705-709,5000.0,5000.0,36.0
6.62,740-744,12000.0,12000.0,36.0
21.48,690-694,23850.0,23820.25,60.0
10.65,720-724,15000.0,15000.0,36.0
7.62,765-769,8000.0,8000.0,36.0
6.03,715-719,20000.0,20000.0,36.0
13.11,710-714,20000.0,19975.0,36.0
14.09,690-694,10000.0,10000.0,36.0
14.09,710-714,18825.0,18825.0,36.0
7.9,775-779,35000.0,34975.0,36.0
6.03,815-819,9000.0,9000.0,36.0
6.17,745-749,4000.0,4000.0,36.0
13.99,660-664,5750.0,5750.0,36.0
15.8,690-694,20950.0,20950.0,36.0
10.99,710-714,8000.0,8000.0,36.0
10.16,725-729,10000.0,10000.0,36.0
14.09,675-679,10000.0,10000.0,36.0
6.03,765-769,14000.0,14000.0,36.0
7.66,735-739,5000.0,5000.0,36.0
19.05,700-704,25000.0,25000.0,60.0
8.9,735-739,35000.0,35000.0,36.0
11.14,690-694,7200.0,7175.0,36.0
8.49,760-764,14000.0,14000.0,60.0
15.21,680-684,15000.0,14975.0,36.0
19.72,695-699,25000.0,25000.0,60.0
14.65,675-679,10800.0,10800.0,36.0
14.33,700-704,20000.0,20000.0,36.0
10.74,695-699,4000.0,4000.0,36.0
15.7,675-679,16000.0,15950.0,36.0
9.76,730-734,1400.0,1400.0,36.0
16.32,665-669,7500.0,7500.0,36.0
14.07,675-679,24625.0,917.28,36.0
14.09,680-684,5000.0,5000.0,36.0
9.91,725-729,25000.0,24975.0,36.0
16.4,660-664,7500.0,7500.0,36.0
6.62,805-809,34500.0,34450.0,36.0
5.79,745-749,10000.0,10000.0,36.0
9.88,740-744,3200.0,3200.0,36.0
15.99,700-704,5500.0,5500.0,60.0
9.76,720-724,3000.0,3000.0,36.0
23.28,660-664,18000.0,18000.0,60.0
9.63,735-739,10000.0,9700.0,36.0
13.11,700-704,8800.0,8800.0,36.0
11.14,705-709,7000.0,7000.0,36.0
13.11,725-729,8000.0,8000.0,36.0
17.27,660-664,3000.0,3000.0,36.0
7.51,735-739,12000.0,11975.0,36.0
14.11,725-729,3600.0,3575.0,36.0
14.33,705-709,11625.0,11625.0,36.0
21.49,670-674,30000.0,30000.0,36.0
8.9,720-724,16000.0,16000.0,36.0
10.75,715-719,10800.0,10700.0,36.0
